sequence	16S_rRNA_Count	metadata_NSTI	closest_reference_genome
DQ174182.1.1339	3	0.003555	GCF_000017585.1
DQ223917.1.1214	2	0.199018	GCF_000427365.1
DQ232863.1.1444	1	0.021148	GCF_015550425.1
DQ234100.1.1513	7	0.065224	GCF_000026225.1
DQ235579.1.1443	6	0.01909	GCF_012427705.1
DQ238618.1.1513	1	0.106674	GCF_900240315.1
DQ250645.1.1314	1	0.010072	GCF_000018325.1
DQ267700.1.1277	7	0.036572	GCF_002925905.1
DQ279736.1.1395	1	0.026507	GCF_003434055.1
DQ279737.1.1420	1	0.025292	GCF_000233455.1
DQ287786.1.1395	2	0.024851	GCF_000023705.1
DQ287787.1.1400	1	0.020416	GCF_000013705.1
DQ295892.1.1494	2	0.097814	GCA_016715325.1
DQ298148.1.1399	7	0.021238	GCF_003697165.2
DQ307703.1.1392	3	0.268866	GCF_014384795.1
DQ308589.1.1527	1	0.114074	GCA_016284885.1
DQ311009.1.1407	1	0.0304	GCF_014692525.1
DQ325546.1.1402	1	0.129591	GCA_934167465.1
DQ325563.1.1347	1	0.121466	GCA_022483465.1
DQ325602.1.1340	5	0.074994	GCF_000225345.1
DQ325618.1.1351	1	0.108353	GCF_000173975.1
DQ325649.1.1334	1	0.28228	GCA_014385095.1
DQ325660.1.1386	1	0.170205	GCA_934096605.1
DQ325663.1.1352	1	0.1104	GCF_018785315.1
DQ325685.1.1348	1	0.114685	GCA_025150425.1
DQ325689.1.1388	1	0.163898	GCA_900751685.1
DQ325692.1.1352	1	0.107743	GCA_025149785.1
DQ325765.1.1359	1	0.054896	GCF_000173975.1
DQ325766.1.1353	1	0.108817	GCF_009695905.1
DQ325768.1.1325	1	0.042785	GCA_001312505.1
DQ325815.1.1347	3	0.121999	GCA_018128945.1
DQ325862.1.1349	4	0.046274	GCF_000010425.1
DQ325890.1.1356	1	0.128779	GCF_015557635.1
DQ325939.1.1351	1	0.130139	GCA_902363665.1
DQ325982.1.1342	1	0.109562	GCF_900209925.1
DQ325997.1.1352	1	0.12097	GCA_001312505.1
DQ326059.1.1335	1	0.040041	GCF_015555905.1
DQ326080.1.1350	1	0.107257	GCF_015557635.1
DQ326162.1.1335	3	0.312999	GCF_900604345.1
DQ326182.1.1354	1	0.107699	GCF_009696065.1
DQ326186.1.1355	1	0.044851	GCF_009696065.1
DQ326193.1.1349	1	0.107743	GCA_025149785.1
DQ326200.1.1352	1	0.056241	GCF_003461245.1
DQ326208.1.1350	1	0.106696	GCF_003461245.1
DQ326231.1.1338	1	0.418708	GCF_003481705.1
DQ326255.1.1349	8	0.063623	GCA_025148785.1
DQ326268.1.1334	1	0.055585	GCF_010509575.1
DQ326292.1.1370	1	0.141491	GCA_910583925.1
DQ326339.1.1382	2	0.111175	GCF_000155955.1
DQ326341.1.1343	1	0.124897	GCA_902765005.1
DQ326381.1.1354	1	0.150293	GCF_016901735.1
DQ326391.1.1347	1	0.677472	GCA_001604185.1
DQ326402.1.1349	8	0.120728	GCA_025148785.1
DQ326447.1.1341	3	0.126942	GCA_017569285.1
DQ326449.1.1352	1	0.109646	GCF_001404655.1
DQ326493.1.1337	1	0.109673	GCF_013304385.1
DQ326531.1.1351	1	0.04774	GCF_000173975.1
DQ326564.1.1352	1	0.107935	GCF_014385005.1
DQ326585.1.1351	1	0.107373	GCF_013304735.1
DQ326597.1.1346	1	0.084757	GCF_900186585.1
DQ326634.1.1352	1	0.082405	GCF_014131695.1
DQ326680.1.1351	1	0.091955	GCF_001487165.1
DQ326682.1.1354	1	0.117167	GCA_025148285.1
DQ326782.1.1351	1	0.136515	GCF_001940225.1
DQ326785.1.1353	1	0.144381	GCF_002874775.1
DQ326830.1.1351	1	0.113063	GCF_003460605.1
DQ326866.1.1353	4	0.110933	GCF_014337215.1
DQ326949.1.1352	1	0.117207	GCF_021531995.1
DQ326950.1.1352	5	0.074125	GCF_900461125.1
DQ327055.1.1354	1	0.134709	GCA_902363555.1
DQ327057.1.1355	1	0.133821	GCA_902362715.1
DQ327133.1.1349	1	0.168848	GCA_002841545.1
DQ327170.1.1353	1	0.128807	GCF_015560805.1
DQ327173.1.1351	1	0.041929	GCF_000173975.1
DQ327276.1.1365	1	0.136788	GCF_010120595.1
DQ327487.1.1353	1	0.134464	GCF_000173975.1
DQ342328.1.1502	5	0.097395	GCF_000270205.1
DQ342330.1.1514	1	0.117899	GCA_025151995.1
DQ342334.1.1517	1	0.135137	GCA_002841545.1
DQ353927.1.1482	3	0.174765	GCA_017569285.1
DQ366689.1.1224	1	0.207455	GCF_000769075.1
DQ366691.1.1269	6	0.042145	GCA_900095835.1
DQ377947.1.1374	1	0.008142	GCA_003014445.1
DQ394300.1.1511	1	0.035228	GCA_021531865.1
DQ394644.1.1506	1	0.161962	GCF_016901775.1
DQ394651.1.1520	1	0.071686	GCA_001512765.1
DQ394661.1.1545	1	0.224516	GCA_900751685.1
DQ394935.1.1522	1	0.029232	GCF_000507145.1
DQ395659.1.1366	1	0.002889	GCF_900117425.1
DQ399356.1.1479	1	0.018374	GCF_013394085.1
DQ400350.106162.107648	2	0.142311	GCF_022496765.1
DQ412721.1.1377	5	0.031398	GCF_001701045.1
DQ417336.1.1419	1	0.02703	GCF_015476235.1
DQ440555.1.1321	6	0.020219	GCF_004006635.1
DQ440561.1.1329	5	0.018971	GCF_012317185.1
DQ441256.1.1313	2	0.013948	GCA_025145285.1
DQ441283.1.1315	2	0.050412	GCF_000012845.1
DQ441287.1.1314	1	0.118072	GCA_900112995.1
DQ441288.1.1313	1	0.053613	GCF_014281125.1
DQ441294.1.1354	1	0.032363	GCF_007164725.1
DQ441303.1.1311	1	0.045613	GCF_018785315.1
DQ441332.1.1285	1	0.057745	GCF_010509575.1
DQ441335.1.1284	1	0.063251	GCF_003287455.1
DQ441339.1.1318	5	0.101895	GCF_900537995.1
DQ441345.1.1293	1	0.010787	GCF_020559915.1
DQ441348.1.1312	1	0.106718	GCF_014297285.1
DQ441353.1.1315	1	0.098139	GCA_003460745.1
DQ445723.1.1210	1	1.68704	GCA_020057115.1
DQ445859.1.1238	1	0.010341	GCF_015668515.1
DQ455824.1.1440	1	0.114325	GCF_002160895.1
DQ455827.1.1444	1	0.11516	GCA_020859985.1
DQ455828.1.1453	1	0.167085	GCA_020555605.1
DQ455829.1.1451	3	0.177236	GCF_016902445.1
DQ455846.1.1446	1	0.119282	GCF_014384905.1
DQ455857.1.1455	1	0.166666	GCA_944376295.1
DQ455870.1.1288	1	0.012919	GCF_002160305.1
DQ455876.1.1442	3	0.109802	GCF_005121165.3
DQ455880.1.1300	1	0.035192	GCF_016586355.1
DQ455898.1.1454	1	0.110321	GCF_016901815.1
DQ455907.1.1457	1	0.10641	GCA_025147485.1
DQ455918.1.1453	1	0.128269	GCA_022845955.1
DQ455929.1.1449	1	0.171963	GCF_002161055.1
DQ455951.1.1458	1	0.265069	GCF_002159175.1
DQ455993.1.1452	1	0.124887	GCF_000157915.1
DQ456002.1.1433	1	0.111203	GCF_900108345.1
DQ456017.1.1452	1	0.124887	GCF_000157915.1
DQ456035.1.1457	1	0.118258	GCF_016901835.1
DQ456046.1.1458	1	0.110415	GCF_003472385.1
DQ456065.1.1451	1	0.126968	GCA_944321845.1
DQ456068.1.1430	1	0.113131	GCA_900551245.1
DQ456069.1.1449	1	0.122773	GCF_900108345.1
DQ456076.1.1438	1	0.134757	GCA_910577815.1
DQ456077.1.1454	1	0.117695	GCF_900079775.1
DQ456079.1.1457	6	0.106748	GCF_003367905.1
DQ456082.1.1452	1	0.044608	GCF_002161285.1
DQ456090.1.1455	1	0.117695	GCF_900079775.1
DQ456091.1.1456	1	0.298591	GCF_014297285.1
DQ456104.1.1470	1	0.376044	GCA_002439755.1
DQ456105.1.1459	1	0.328859	GCF_016899955.1
DQ456108.1.1454	1	0.124909	GCA_019550975.1
DQ456112.1.1458	1	0.120919	GCF_016899955.1
DQ456128.1.1470	8	0.261794	GCF_003609995.1
DQ456133.1.1453	1	0.298526	GCA_002439755.1
DQ456134.1.1453	1	0.118018	GCF_016899855.1
DQ456137.1.1456	1	0.124909	GCA_019550975.1
DQ456148.1.1449	3	0.202635	GCF_005121165.3
DQ456166.1.1450	1	0.211915	GCF_016901735.1
DQ456180.1.1437	1	0.114325	GCF_002160895.1
DQ456192.1.1444	1	0.163898	GCA_900751685.1
DQ456202.1.1447	1	0.163898	GCA_900751685.1
DQ456204.1.1444	1	0.32451	GCA_000513555.1
DQ456220.1.1454	3	0.11358	GCF_016902445.1
DQ456225.1.1458	1	0.163898	GCA_900751685.1
DQ456234.1.1446	1	0.093016	GCA_900751685.1
DQ456245.1.1452	1	0.053046	GCA_025147485.1
DQ456247.1.1440	1	0.119509	GCF_900148495.1
DQ456251.1.1450	7	0.106141	GCF_000012825.1
DQ456272.1.1549	1	0.10641	GCA_025147485.1
DQ456296.1.1449	1	0.049007	GCA_025147485.1
DQ456299.1.1422	1	0.289753	GCF_016901775.1
DQ456318.1.1452	1	0.192845	GCA_021201135.1
DQ456331.1.1451	7	0.106141	GCF_000012825.1
DQ456340.1.1449	3	0.083707	GCF_005121165.3
DQ456350.1.1442	3	0.161287	GCF_005121165.3
DQ456362.1.1442	1	0.109507	GCA_900045905.1
DQ456366.1.1454	2	0.080474	GCF_002161355.1
DQ456371.1.1449	1	0.110321	GCF_016901815.1
DQ456377.1.1455	1	0.118913	GCA_902363515.1
DQ456381.1.1454	3	0.04925	GCF_016902445.1
DQ456384.1.1454	1	0.043001	GCF_016899775.1
DQ456392.1.1462	1	0.162594	GCF_900048895.1
DQ456395.1.1455	1	0.044352	GCF_002161215.1
DQ456398.1.1438	1	0.145575	GCA_003669055.1
DQ456400.1.1420	1	0.234645	GCF_014982805.1
DQ456401.1.1436	1	0.290864	GCF_014384905.1
DQ456434.1.1440	1	0.095151	GCF_004134775.1
DQ456460.1.1452	1	0.05568	GCF_900625105.1
DQ456463.1.1450	1	0.286358	GCA_001304875.1
DQ456467.1.1449	1	0.287936	GCA_022845955.1
DQ456470.1.1450	1	0.16446	GCF_014982805.1
DQ465412.1.1218	6	0.011327	GCF_002921145.1
DQ471331.1.1380	1	0.001071	GCF_022179345.1
DQ539024.1.1202	1	0.068231	GCF_016756775.1
DQ629466.1.1468	2	0.024321	GCF_022496765.1
DQ629533.1.1254	2	0.060204	GCF_022496765.1
DQ641256.1.1334	1	0.36123	GCF_024498275.1
DQ644497.1.1533	1	0.015233	GCF_021404405.1
DQ673512.1.1478	1	0.026969	GCF_018784445.1
DQ673535.1.1495	1	0.305593	GCF_000949455.1
DQ777880.1.1499	4	0.110933	GCF_014337215.1
DQ777881.1.1492	1	0.165477	GCF_018228665.1
DQ777891.1.1475	1	0.036064	GCF_003725335.1
DQ777895.1.1519	3	0.126942	GCA_017569285.1
DQ777901.1.1500	1	0.061366	GCF_000949455.1
DQ777902.1.1442	1	0.028792	GCF_003416765.1
DQ777906.1.1456	1	0.154353	GCA_022510425.1
DQ777935.1.1493	1	0.092788	GCF_900112085.1
DQ777946.1.1458	4	0.063226	GCF_000179635.2
DQ793227.1.1405	1	0.107392	GCF_003477605.1
DQ793236.1.1367	1	0.169217	GCA_000154345.1
DQ793241.1.1399	1	0.063863	GCA_025146565.1
DQ793245.1.1374	1	0.037732	GCF_010509575.1
DQ793257.1.1285	1	0.041898	GCA_025150425.1
DQ793258.1.1282	1	0.057236	GCA_021029595.1
DQ793259.1.1395	1	0.136656	GCF_002160985.1
DQ793266.1.1370	1	0.176217	GCA_900769475.1
DQ793267.1.1390	1	0.128189	GCA_000283575.1
DQ793275.1.1289	3	0.067421	GCA_018228685.1
DQ793281.1.1393	1	0.135137	GCA_002841545.1
DQ793300.1.1395	1	0.131696	GCA_022009815.1
DQ793305.1.1399	3	0.160385	GCA_900199405.1
DQ793315.1.1293	1	0.041069	GCF_020892095.1
DQ793316.1.1393	2	0.107151	GCF_000012845.1
DQ793319.1.1398	3	0.119488	GCF_000243215.1
DQ793332.1.1376	1	0.06213	GCF_010509575.1
DQ793343.1.1369	1	0.074385	GCF_010509575.1
DQ793344.1.1386	1	0.069816	GCF_003024675.1
DQ793347.1.1245	1	0.066256	GCF_009695995.1
DQ793359.1.1288	1	0.1082	GCF_900167205.1
DQ793362.1.1379	1	0.13131	GCA_902362965.1
DQ793363.1.1370	1	0.097737	GCF_018784445.1
DQ793364.1.1394	5	0.128155	GCA_000020605.1
DQ793375.1.1380	1	0.167239	GCA_021029595.1
DQ793376.1.1284	1	0.11516	GCA_020859985.1
DQ793380.1.1380	1	0.058791	GCF_002874775.1
DQ793394.1.1370	1	0.114685	GCA_025150425.1
DQ793396.1.1293	1	0.083547	GCA_000687695.1
DQ793398.1.1380	1	0.11516	GCA_020859985.1
DQ793416.1.1396	1	0.046748	GCA_025147485.1
DQ793417.1.1390	1	0.246062	GCF_000178115.2
DQ793420.1.1289	1	0.05959	GCA_916988195.3
DQ793424.1.1294	1	0.124897	GCA_902765005.1
DQ793433.1.1408	1	0.112099	GCA_000980495.1
DQ793439.1.1371	1	0.014347	GCA_025150425.1
DQ793447.1.1386	5	0.106172	GCA_000020605.1
DQ793453.1.1393	1	0.102199	GCA_002841545.1
DQ793454.1.1374	1	0.028186	GCF_000577815.1
DQ793475.1.1281	1	0.09823	GCF_020554865.1
DQ793479.1.1391	1	0.149468	GCA_025148125.1
DQ793484.1.1391	1	0.122852	GCF_001280875.1
DQ793489.1.1290	1	0.085623	GCA_900045905.1
DQ793496.1.1394	1	0.15214	GCA_003460745.1
DQ793508.1.1385	1	0.208358	GCA_022867625.1
DQ793512.1.1384	1	0.125653	GCF_003478035.1
DQ793523.1.1374	1	0.113483	GCF_002160895.1
DQ793526.1.1303	2	0.107151	GCF_000012845.1
DQ793530.1.1296	4	0.075258	GCF_004295125.1
DQ793537.1.1387	3	0.093011	GCF_000243215.1
DQ793538.1.1374	3	0.101254	GCF_000020225.1
DQ793542.1.1407	3	0.167134	GCA_900199405.1
DQ793548.1.1294	1	0.090415	GCF_020736365.1
DQ793555.1.1290	1	0.011974	GCF_900291955.1
DQ793559.1.1253	1	0.035834	GCA_022835495.1
DQ793564.1.1350	1	0.124897	GCA_902765005.1
DQ793566.1.1391	1	0.149162	GCF_009935845.1
DQ793576.1.1392	2	0.107078	GCF_002161355.1
DQ793581.1.1384	1	0.218525	GCA_900751685.1
DQ793589.1.1288	1	0.112955	GCF_004340975.1
DQ793597.1.1386	1	0.073982	GCF_009936045.1
DQ793600.1.1280	2	0.171485	GCF_000024265.1
DQ793604.1.1289	1	0.334997	GCA_015067305.1
DQ793620.1.1362	14	0.029622	GCF_900106845.1
DQ793625.1.1397	2	0.025404	GCA_025145645.1
DQ793648.1.1398	1	0.0312	GCF_002160015.1
DQ793657.1.1389	1	0.094069	GCF_002160765.1
DQ793661.1.1379	1	0.179183	GCF_003268275.1
DQ793665.1.1389	3	0.196457	GCA_900199405.1
DQ793669.1.1352	2	0.142994	GCF_001244995.1
DQ793683.1.1390	1	0.079141	GCF_001487105.1
DQ793685.1.1290	1	0.051546	GCA_000154345.1
DQ793701.1.1373	1	0.160008	GCA_020687485.1
DQ793702.1.1406	1	0.135137	GCA_002841545.1
DQ793703.1.1292	1	0.134532	GCA_902809935.1
DQ793705.1.1389	1	0.149871	GCA_910574935.1
DQ793717.1.1289	1	0.185812	GCA_020555605.1
DQ793723.1.1392	1	0.092162	GCA_902362715.1
DQ793739.1.1403	1	0.079905	GCF_900155395.1
DQ793741.1.1289	3	0.217061	GCA_018228685.1
DQ793742.1.1312	1	0.11936	GCF_003024675.1
DQ793744.1.1292	1	0.124897	GCA_902765005.1
DQ793760.1.1393	1	0.115717	GCF_009696065.1
DQ793763.1.1393	1	0.050308	GCF_016586355.1
DQ793765.1.1405	1	0.112034	GCA_021770005.1
DQ793775.1.1293	1	0.060851	GCA_022835495.1
DQ793777.1.1289	1	0.037804	GCF_000949455.1
DQ793791.1.1328	1	0.043343	GCF_000195635.1
DQ793793.1.1394	1	0.107904	GCA_025148125.1
DQ793801.1.1289	1	0.17157	GCA_910583925.1
DQ793803.1.1372	1	0.115156	GCF_002160955.1
DQ793806.1.1289	1	0.122772	GCF_900167205.1
DQ793810.1.1391	1	0.119509	GCF_900148495.1
DQ793812.1.1284	1	0.046902	GCF_900291975.1
DQ793813.1.1282	1	0.12485	GCF_024462815.1
DQ793815.1.1392	2	0.040081	GCA_025145285.1
DQ793818.1.1383	1	0.112111	GCF_008121495.1
DQ793820.1.1393	1	0.107904	GCA_025148125.1
DQ793824.1.1370	1	0.040107	GCF_009696065.1
DQ793832.1.1288	1	0.166204	GCF_018784445.1
DQ793836.1.1378	1	0.11516	GCA_020859985.1
DQ793841.1.1289	3	0.170663	GCA_018228685.1
DQ793858.1.1293	1	0.114685	GCA_025150425.1
DQ793860.1.1397	1	0.110436	GCA_025147325.1
DQ793870.1.1284	1	0.052297	GCF_016901605.1
DQ793873.1.1280	1	0.125063	GCF_010509575.1
DQ793877.1.1398	2	0.128214	GCF_023921805.1
DQ793887.1.1385	4	0.134306	GCA_023409535.1
DQ793889.1.1241	1	0.11516	GCA_020859985.1
DQ793897.1.1291	1	0.167998	GCA_002841545.1
DQ793910.1.1354	1	0.104154	GCA_900542245.1
DQ793917.1.1393	1	0.172572	GCA_002841545.1
DQ793926.1.1398	1	0.096576	GCA_010206265.1
DQ793933.1.1397	1	0.110436	GCA_025147325.1
DQ793934.1.1386	2	0.10813	GCA_905197905.1
DQ793939.1.1402	1	0.178809	GCF_016901775.1
DQ793953.1.1281	1	0.161402	GCF_016902415.1
DQ793958.1.1395	1	0.113272	GCF_000195635.1
DQ793980.1.1387	1	0.140712	GCF_001261775.1
DQ793990.1.1371	1	0.264492	GCA_023458035.1
DQ793991.1.1383	1	0.147749	GCF_002160895.1
DQ793995.1.1387	1	0.148773	GCF_018784445.1
DQ793999.1.1395	1	0.113272	GCF_000195635.1
DQ794002.1.1384	1	0.108036	GCF_010509575.1
DQ794004.1.1393	1	0.131526	GCF_016901775.1
DQ794005.1.1388	1	0.113592	GCF_002161065.1
DQ794012.1.1286	2	0.169586	GCF_003438075.1
DQ794028.1.1371	5	0.111284	GCF_002222615.2
DQ794035.1.1393	1	0.17157	GCA_910583925.1
DQ794057.1.1405	1	0.109491	GCA_902363045.1
DQ794058.1.1402	1	0.11062	GCF_016586355.1
DQ794066.1.1374	1	0.032631	GCF_010509575.1
DQ794070.1.1404	2	0.056315	GCF_023921805.1
DQ794089.1.1399	1	0.16446	GCF_014982805.1
DQ794093.1.1350	1	0.075263	GCF_002160895.1
DQ794094.1.1356	1	0.178129	GCF_019042275.1
DQ794098.1.1370	1	0.126782	GCF_002161595.1
DQ794099.1.1384	1	0.11516	GCA_020859985.1
DQ794106.1.1248	1	0.109112	GCF_003471165.1
DQ794125.1.1301	1	0.107407	GCA_021029595.1
DQ794130.1.1396	1	0.083748	GCF_018784445.1
DQ794131.1.1392	1	0.079808	GCA_025148125.1
DQ794150.1.1398	1	0.124831	GCF_002160895.1
DQ794159.1.1406	1	0.225161	GCF_014384765.1
DQ794160.1.1340	1	0.082455	GCA_025152575.1
DQ794161.1.1390	2	0.109988	GCA_900762445.1
DQ794164.1.1385	1	0.13131	GCA_902362965.1
DQ794167.1.1385	1	0.126486	GCF_000949455.1
DQ794175.1.1406	5	0.232843	GCF_000156195.1
DQ794179.1.1290	1	0.11516	GCA_020859985.1
DQ794187.1.1382	1	0.01853	GCA_025150425.1
DQ794193.1.1383	1	0.066369	GCF_900148495.1
DQ794197.1.1377	1	0.098601	GCA_025148125.1
DQ794198.1.1375	1	0.106718	GCF_014297285.1
DQ794201.1.1403	2	0.058539	GCF_023921805.1
DQ794217.1.1397	7	0.106141	GCF_000012825.1
DQ794229.1.1395	1	0.046146	GCF_008727735.1
DQ794239.1.1380	1	0.165665	GCF_018917965.1
DQ794245.1.1393	1	0.140608	GCF_016900655.1
DQ794265.1.1406	2	0.028399	GCF_023921805.1
DQ794267.1.1393	1	0.186813	GCA_002841545.1
DQ794280.1.1399	3	0.230778	GCA_017569285.1
DQ794282.1.1258	1	0.124079	GCA_021201135.1
DQ794284.1.1397	1	0.11516	GCA_020859985.1
DQ794293.1.1379	1	0.108567	GCF_015140235.1
DQ794303.1.1275	1	0.142997	GCA_001512765.1
DQ794313.1.1289	1	0.173173	GCF_900209925.1
DQ794318.1.1393	2	0.113831	GCF_002834225.1
DQ794322.1.1377	1	0.18861	GCF_002160895.1
DQ794326.1.1392	1	0.167848	GCF_900129135.1
DQ794337.1.1283	1	0.11516	GCA_020859985.1
DQ794345.1.1286	1	0.07535	GCF_000468015.1
DQ794349.1.1291	1	0.342829	GCA_944376795.1
DQ794356.1.1362	1	0.107032	GCA_900542275.1
DQ794359.1.1305	1	0.454604	GCA_021201655.1
DQ794366.1.1359	1	0.130139	GCA_902363665.1
DQ794367.1.1254	1	0.046469	GCF_018784445.1
DQ794369.1.1366	2	0.197802	GCF_000024265.1
DQ794370.1.1390	2	0.07321	GCF_002161355.1
DQ794376.1.1367	4	0.026792	GCF_014337155.1
DQ794387.1.1353	1	0.13365	GCA_021770095.1
DQ794388.1.1390	1	0.113063	GCF_003460605.1
DQ794390.1.1389	1	0.08247	GCA_000285855.2
DQ794392.1.1380	3	0.067822	GCF_018918185.1
DQ794396.1.1298	1	0.177649	GCF_003363435.1
DQ794400.1.1389	1	0.04175	GCF_001280875.1
DQ794405.1.1374	1	0.107721	GCF_018918025.1
DQ794408.1.1381	1	0.182375	GCA_000285855.2
DQ794415.1.1290	1	0.010782	GCA_021029595.1
DQ794416.1.1389	1	0.078471	GCF_000173975.1
DQ794417.1.1388	1	0.092363	GCF_000173975.1
DQ794420.1.1392	1	0.087737	GCA_025148125.1
DQ794427.1.1242	3	0.025248	GCF_005121165.3
DQ794434.1.1292	1	0.11516	GCA_020859985.1
DQ794442.1.1284	1	0.11516	GCA_020859985.1
DQ794444.1.1381	1	0.077096	GCA_003584705.1
DQ794450.1.1388	1	0.107121	GCA_000285855.2
DQ794461.1.1389	1	0.113063	GCF_003460605.1
DQ794468.1.1382	1	0.11516	GCA_020859985.1
DQ794470.1.1391	1	0.142576	GCF_018784445.1
DQ794473.1.1277	3	0.191775	GCF_018847375.1
DQ794475.1.1392	1	0.078277	GCF_001487105.1
DQ794482.1.1393	1	0.143585	GCF_900291975.1
DQ794483.1.1388	1	0.109564	GCA_902363515.1
DQ794485.1.1281	1	0.358302	GCA_023458035.1
DQ794490.1.1288	1	0.267011	GCA_025148125.1
DQ794492.1.1284	1	0.16446	GCF_014982805.1
DQ794494.1.1293	3	0.054196	GCF_018918185.1
DQ794498.1.1290	1	0.242685	GCF_013304385.1
DQ794508.1.1298	5	0.106172	GCA_000020605.1
DQ794509.1.1219	1	0.12103	GCF_013304385.1
DQ794528.1.1395	2	0.107151	GCF_000012845.1
DQ794530.1.1387	1	0.048623	GCF_020537505.1
DQ794532.1.1381	1	0.11516	GCA_020859985.1
DQ794538.1.1388	1	0.08128	GCF_000173975.1
DQ794549.1.1280	1	0.258173	GCF_014982805.1
DQ794555.1.1394	5	0.111284	GCF_002222615.2
DQ794573.1.1388	1	0.191309	GCA_000242235.1
DQ794576.1.1390	1	0.070658	GCA_025148125.1
DQ794603.1.1392	1	0.063594	GCF_003478335.1
DQ794604.1.1386	1	0.107369	GCF_015557635.1
DQ794610.1.1387	1	0.108353	GCF_000173975.1
DQ794611.1.1365	2	0.022069	GCF_000478885.1
DQ794620.1.1391	1	0.107904	GCA_025148125.1
DQ794630.1.1330	1	0.048335	GCF_015670795.1
DQ794633.1.1395	6	0.106541	GCF_018228665.1
DQ794641.1.1363	1	0.107032	GCA_900542275.1
DQ794642.1.1259	1	0.07709	GCA_003481005.1
DQ794647.1.1394	5	0.106172	GCA_000020605.1
DQ794648.1.1290	1	0.201881	GCA_025148125.1
DQ794653.1.1294	1	0.066506	GCF_024462815.1
DQ794668.1.1291	1	0.057985	GCF_021531975.1
DQ794684.1.1377	1	0.135137	GCA_002841545.1
DQ794699.1.1390	1	0.070957	GCA_025148125.1
DQ794702.1.1380	6	0.106541	GCF_018228665.1
DQ794708.1.1389	5	0.106172	GCA_000020605.1
DQ794709.1.1288	1	0.145387	GCF_016586355.1
DQ794712.1.1388	1	0.183673	GCA_015068345.1
DQ794715.1.1389	1	0.107121	GCA_000285855.2
DQ794720.1.1293	1	0.08338	GCF_009696065.1
DQ794726.1.1391	1	0.066516	GCF_900240315.1
DQ794729.1.1374	1	0.046696	GCF_018784445.1
DQ794731.1.1391	1	0.109564	GCA_902363515.1
DQ794732.1.1381	1	0.11516	GCA_020859985.1
DQ794736.1.1300	1	0.087599	GCF_900104415.1
DQ794752.1.1329	3	0.110332	GCF_018847375.1
DQ794753.1.1424	1	0.147135	GCF_000160055.1
DQ794771.1.1366	2	0.055608	GCF_000478885.1
DQ794773.1.1372	1	0.107407	GCA_021029595.1
DQ794775.1.1395	1	0.026232	GCA_001304995.1
DQ794778.1.1390	1	0.133298	GCA_020859985.1
DQ794799.1.1281	1	0.114388	GCF_018784445.1
DQ794800.1.1389	1	0.187283	GCF_018228665.1
DQ794820.1.1394	1	0.107798	GCF_003479605.1
DQ794828.1.1298	1	0.034155	GCA_001304875.1
DQ794833.1.1397	1	0.113063	GCF_003460605.1
DQ794840.1.1280	1	0.11516	GCA_020859985.1
DQ794866.1.1384	1	0.11516	GCA_020859985.1
DQ794870.1.1379	1	0.148438	GCA_025148125.1
DQ794886.1.1390	1	0.127551	GCF_002161065.1
DQ794888.1.1396	1	0.170455	GCA_003669055.1
DQ794890.1.1392	5	0.106172	GCA_000020605.1
DQ794891.1.1393	1	0.112955	GCF_004340975.1
DQ794895.1.1386	1	0.196686	GCA_000242235.1
DQ794904.1.1371	1	0.058259	GCF_018784445.1
DQ794911.1.1390	1	0.094309	GCF_015557635.1
DQ794916.1.1298	1	0.11516	GCA_020859985.1
DQ794917.1.1369	6	0.039484	GCF_023347535.1
DQ794919.1.1405	2	0.12428	GCF_000467855.2
DQ794927.1.1393	1	0.112955	GCF_004340975.1
DQ794928.1.1421	1	0.113849	GCF_000160055.1
DQ794929.1.1287	1	0.154766	GCF_009696065.1
DQ794966.1.1392	1	0.071143	GCA_902362715.1
DQ794973.1.1390	5	0.106172	GCA_000020605.1
DQ794978.1.1285	1	0.135137	GCA_002841545.1
DQ794980.1.1393	1	0.19226	GCA_018223385.1
DQ794981.1.1387	1	0.109646	GCF_001404655.1
DQ794984.1.1299	1	0.10002	GCF_900312975.1
DQ794985.1.1388	1	0.073815	GCF_000173975.1
DQ794987.1.1389	1	0.11516	GCA_020859985.1
DQ794988.1.1390	1	0.105873	GCA_902363805.1
DQ794994.1.1389	1	0.104558	GCA_902363805.1
DQ795002.1.1388	1	0.11516	GCA_020859985.1
DQ795010.1.1367	1	0.018915	GCF_020709055.1
DQ795021.1.1370	6	0.037097	GCF_023347535.1
DQ795028.1.1385	1	0.130921	GCA_934504065.1
DQ795049.1.1387	1	0.028763	GCF_900048895.1
DQ795071.1.1388	5	0.103269	GCA_000020605.1
DQ795073.1.1385	1	0.230364	GCA_016649875.1
DQ795078.1.1378	6	0.112563	GCF_023347535.1
DQ795121.1.1387	1	0.127551	GCF_002161065.1
DQ795126.1.1390	1	0.108542	GCF_001487165.1
DQ795137.1.1389	1	0.050011	GCF_003287895.1
DQ795138.1.1393	2	0.108323	GCF_000265365.1
DQ795143.1.1389	1	0.134464	GCF_000173975.1
DQ795147.1.1383	1	0.155252	GCF_002161065.1
DQ795148.1.1389	1	0.11516	GCA_020859985.1
DQ795160.1.1400	6	0.140681	GCF_015074785.1
DQ795164.1.1391	1	0.122629	GCF_018982945.1
DQ795165.1.1385	1	0.109646	GCF_001404655.1
